source,run,model_weight,round,n_labeled,kernel,alignment,mean_prior_alignment,model_over_prior,from_json
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.25_run1_Core-Set_diff_effect_round2_round_state.json,1,0.25,2,200,esm,0.38735800981521606,0.32161107476389394,2.5987582755847587,True
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.25_run1_Core-Set_diff_effect_round2_round_state.json,1,0.25,2,200,model,0.8357894420623779,0.32161107476389394,2.5987582755847587,True
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.25_run1_Core-Set_diff_effect_round2_round_state.json,1,0.25,2,200,node2vec,0.4225379526615143,0.32161107476389394,2.5987582755847587,True
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.25_run1_Core-Set_diff_effect_round2_round_state.json,1,0.25,2,200,ops_A549,0.3278360636423823,0.32161107476389394,2.5987582755847587,True
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.25_run1_Core-Set_diff_effect_round2_round_state.json,1,0.25,2,200,ops_HeLa_DMEM,0.13775336066758165,0.32161107476389394,2.5987582755847587,True
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.25_run1_Core-Set_diff_effect_round2_round_state.json,1,0.25,2,200,ops_HeLa_HPLM,0.1785119264575874,0.32161107476389394,2.5987582755847587,True
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.25_run1_Core-Set_diff_effect_round2_round_state.json,1,0.25,2,200,pops,0.1935820738511689,0.32161107476389394,2.5987582755847587,True
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.25_run1_Core-Set_diff_effect_round2_round_state.json,1,0.25,2,200,rpe1,0.5401275157928467,0.32161107476389394,2.5987582755847587,True
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.25_run1_Core-Set_diff_effect_round3_round_state.json,1,0.25,3,300,biogpt,0.39125949144363403,0.3284705147189946,2.6487529890336434,True
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.25_run1_Core-Set_diff_effect_round3_round_state.json,1,0.25,3,300,esm,0.3922889232635498,0.3284705147189946,2.6487529890336434,True
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.25_run1_Core-Set_diff_effect_round3_round_state.json,1,0.25,3,300,model,0.8700372576713562,0.3284705147189946,2.6487529890336434,True
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.25_run1_Core-Set_diff_effect_round3_round_state.json,1,0.25,3,300,node2vec,0.42829281091690063,0.3284705147189946,2.6487529890336434,True
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.25_run1_Core-Set_diff_effect_round3_round_state.json,1,0.25,3,300,ops_A549,0.3169430536851683,0.3284705147189946,2.6487529890336434,True
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.25_run1_Core-Set_diff_effect_round3_round_state.json,1,0.25,3,300,ops_HeLa_DMEM,0.13159339907029963,0.3284705147189946,2.6487529890336434,True
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.25_run1_Core-Set_diff_effect_round3_round_state.json,1,0.25,3,300,ops_HeLa_HPLM,0.1711530735215304,0.3284705147189946,2.6487529890336434,True
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.25_run1_Core-Set_diff_effect_round3_round_state.json,1,0.25,3,300,pops,0.23958588631672442,0.3284705147189946,2.6487529890336434,True
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.25_run1_Core-Set_diff_effect_round3_round_state.json,1,0.25,3,300,rpe1,0.5566474795341492,0.3284705147189946,2.6487529890336434,True
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.25_run1_Core-Set_diff_effect_round4_round_state.json,1,0.25,4,400,biogpt,0.3959449231624603,0.3315089055715144,2.6808422351662684,True
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.25_run1_Core-Set_diff_effect_round4_round_state.json,1,0.25,4,400,esm,0.39369580149650574,0.3315089055715144,2.6808422351662684,True
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.25_run1_Core-Set_diff_effect_round4_round_state.json,1,0.25,4,400,model,0.8887230753898621,0.3315089055715144,2.6808422351662684,True
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.25_run1_Core-Set_diff_effect_round4_round_state.json,1,0.25,4,400,node2vec,0.42369136214256287,0.3315089055715144,2.6808422351662684,True
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.25_run1_Core-Set_diff_effect_round4_round_state.json,1,0.25,4,400,ops_A549,0.31992229123824006,0.3315089055715144,2.6808422351662684,True
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.25_run1_Core-Set_diff_effect_round4_round_state.json,1,0.25,4,400,ops_HeLa_DMEM,0.12891558260707126,0.3315089055715144,2.6808422351662684,True
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.25_run1_Core-Set_diff_effect_round4_round_state.json,1,0.25,4,400,ops_HeLa_HPLM,0.18127139064326397,0.3315089055715144,2.6808422351662684,True
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.25_run1_Core-Set_diff_effect_round4_round_state.json,1,0.25,4,400,pops,0.24745246074493224,0.3315089055715144,2.6808422351662684,True
