run,round,n_labeled,perm_seed,signal,z0,z05,z1,d_z_0_05,d_z_0_1,d_z_05_1,ordered_0_gt_05_gt_1
1,4,400,20260830,obs,0.5648959946078752,0.49446754960952305,0.24365056230661558,0.07042844499835216,0.3212454323012596,0.25081698730290747,True
1,4,400,20260830,pm,0.616577551820048,0.5552285492458457,0.29557213529936094,0.06134900257420228,0.3210054165206871,0.2596564139464848,True
1,5,500,20260826,cons,0.4497698490972476,0.48720724723012304,0.36470928642149975,-0.037437398132875443,0.08506056267574785,0.1224979608086233,False
1,5,500,20260826,cons_full,0.4247763974251374,0.4876488217304923,0.37825947758197226,-0.06287242430535489,0.04651691984316514,0.10938934414852003,False
1,5,500,20260826,loc,0.11,0.0908,0.009600000000000001,0.019199999999999995,0.1004,0.08120000000000001,True
1,5,500,20260826,obs,0.5583233067007654,0.48568337100185366,0.2202339547230196,0.0726399356989117,0.33808935197774576,0.26544941627883406,True
1,5,500,20260826,pm,,,,,,,False
1,5,500,20260827,cons,0.4497698490972476,0.48179000707356384,0.35797048853814967,-0.032020157976316244,0.09179936055909793,0.12381951853541417,False
1,5,500,20260827,cons_full,0.4247763974251374,0.48840922606165904,0.3820972989531789,-0.06363282863652164,0.0426790984719585,0.10631192710848014,False
1,5,500,20260827,loc,0.11,0.0882,0.018400000000000003,0.0218,0.0916,0.0698,True
1,5,500,20260827,obs,0.5583233067007654,0.5032539508818704,0.2587721931246623,0.05506935581889494,0.29955111357610303,0.2444817577572081,True
1,5,500,20260827,pm,,,,,,,False
1,5,500,20260828,cons,0.4497698490972476,0.4824478656030105,0.34743293850903567,-0.03267801650576291,0.10233691058821193,0.13501492709397483,False
1,5,500,20260828,cons_full,0.4247763974251374,0.4862838912347319,0.3757072454817988,-0.06150749380959453,0.04906915194333861,0.11057664575293313,False
1,5,500,20260828,loc,0.11,0.0736,0.018,0.0364,0.092,0.0556,True
1,5,500,20260828,obs,0.5583233067007654,0.4909576323209513,0.22031011089142946,0.06736567437981406,0.33801319580933586,0.27064752142952186,True
1,5,500,20260828,pm,,,,,,,False
1,5,500,20260829,cons,0.4497698490972476,0.4814540294810456,0.35351888883747223,-0.031684180383798,0.09625096025977536,0.12793514064357336,False
1,5,500,20260829,cons_full,0.4247763974251374,0.48676591304599104,0.3809076724890633,-0.06198951562085364,0.04386872493607408,0.10585824055692772,False
1,5,500,20260829,loc,0.11,0.09040000000000001,0.0222,0.019599999999999992,0.0878,0.06820000000000001,True
1,5,500,20260829,obs,0.5583233067007654,0.49806836348921046,0.24146633389737485,0.06025494321155489,0.31685697280339054,0.25660202959183565,True
1,5,500,20260829,pm,,,,,,,False
1,5,500,20260830,cons,0.4497698490972476,0.48331791707315,0.3648699506210627,-0.03354806797590243,0.0848998984761849,0.11844796645208733,False
1,5,500,20260830,cons_full,0.4247763974251374,0.48657164465559405,0.38149618633728666,-0.06179524723045665,0.04328021108785074,0.10507545831830739,False
1,5,500,20260830,loc,0.11,0.087,0.0166,0.023000000000000007,0.0934,0.07039999999999999,True
1,5,500,20260830,obs,0.5583233067007654,0.4909540666365875,0.24616309895045707,0.06736924006417783,0.3121602077503083,0.24479096768613046,True
1,5,500,20260830,pm,,,,,,,False
2,1,100,20260826,cons,0.4031854667512124,0.5028891086275525,0.4172705556585074,-0.09970364187634012,-0.014085088907294985,0.08561855296904514,False
2,1,100,20260826,cons_full,0.4247763974251374,0.4876488217304923,0.37825947758197226,-0.06287242430535489,0.04651691984316514,0.10938934414852003,False
2,1,100,20260826,loc,0.237,0.188,0.07,0.04899999999999999,0.16699999999999998,0.118,True
2,1,100,20260826,obs,0.45124494210971544,0.33718051050588377,0.13576294508941464,0.11406443160383167,0.3154819970203008,0.20141756541646913,True
2,1,100,20260826,pm,0.4043163596850797,0.3053041638257836,0.12632626445348275,0.09901219585929605,0.2779900952315969,0.17897789937230088,True
2,1,100,20260827,cons,0.4031854667512124,0.49628800054450867,0.41700237929474504,-0.09310253379329625,-0.013816912543532622,0.07928562124976363,False
2,1,100,20260827,cons_full,0.4247763974251374,0.48840922606165904,0.3820972989531789,-0.06363282863652164,0.0426790984719585,0.10631192710848014,False
2,1,100,20260827,loc,0.237,0.171,0.064,0.06599999999999998,0.173,0.10700000000000001,True
2,1,100,20260827,obs,0.45124494210971544,0.3768788852749481,0.19631204250479092,0.07436605683476732,0.2549328996049245,0.1805668427701572,True
2,1,100,20260827,pm,0.4043163596850797,0.3385981651261575,0.1772799237805421,0.0657181945589222,0.22703643590453756,0.16131824134561537,True
2,1,100,20260828,cons,0.4031854667512124,0.4866246329647415,0.37712707915832416,-0.08343916621352909,0.026058387592888255,0.10949755380641735,False
2,1,100,20260828,cons_full,0.4247763974251374,0.4862838912347319,0.3757072454817988,-0.06150749380959453,0.04906915194333861,0.11057664575293313,False
2,1,100,20260828,loc,0.237,0.18600000000000005,0.08299999999999999,0.050999999999999934,0.154,0.10300000000000006,True
2,1,100,20260828,obs,0.45124494210971544,0.3897357555499624,0.18285145355987195,0.061509186559753015,0.26839348854984346,0.20688430199009047,True
2,1,100,20260828,pm,0.4043163596850797,0.3379714070019822,0.1464868910733606,0.06634495268309748,0.25782946861171907,0.1914845159286216,True
2,1,100,20260829,cons,0.4031854667512124,0.4893738822917823,0.38866381685672874,-0.08618841554056988,0.01452164989448368,0.10071006543505356,False
2,1,100,20260829,cons_full,0.4247763974251374,0.48676591304599104,0.3809076724890633,-0.06198951562085364,0.04386872493607408,0.10585824055692772,False
2,1,100,20260829,loc,0.237,0.20099999999999998,0.10699999999999997,0.036000000000000004,0.13,0.09400000000000001,True
2,1,100,20260829,obs,0.45124494210971544,0.3610998866547427,0.15110824455431987,0.09014505545497276,0.30013669755539557,0.20999164210042282,True
2,1,100,20260829,pm,0.4043163596850797,0.32931696839100505,0.144172298663136,0.07499939129407462,0.26014406102194365,0.18514466972786905,True
2,1,100,20260830,cons,0.4031854667512124,0.4926137216448892,0.40623895417081474,-0.08942825489367678,-0.0030534874196023187,0.08637476747407447,False
2,1,100,20260830,cons_full,0.4247763974251374,0.48657164465559405,0.38149618633728666,-0.06179524723045665,0.04328021108785074,0.10507545831830739,False
2,1,100,20260830,loc,0.237,0.16400000000000003,0.052000000000000005,0.07299999999999995,0.185,0.11200000000000003,True
2,1,100,20260830,obs,0.45124494210971544,0.3373420607440491,0.14999058004302854,0.11390288136566634,0.3012543620666869,0.18735148070102056,True
2,1,100,20260830,pm,0.4043163596850797,0.30399776042490445,0.13686721598212695,0.10031859926017522,0.2674491437029527,0.1671305444427775,True
2,2,200,20260826,cons,0.42541845573236087,0.4724035332086977,0.35868863538338275,-0.046985077476336845,0.06672982034897812,0.11371489782531496,False
2,2,200,20260826,cons_full,0.4247763974251374,0.4876488217304923,0.37825947758197226,-0.06287242430535489,0.04651691984316514,0.10938934414852003,False
2,2,200,20260826,loc,0.16450000000000004,0.11649999999999999,0.014500000000000002,0.04800000000000004,0.15000000000000002,0.102,True
2,2,200,20260826,obs,0.5254676639775233,0.4449530230628526,0.18413480818213557,0.0805146409146707,0.34133285579538775,0.26081821488071705,True
2,2,200,20260826,pm,0.5541664044532528,0.4683993829749143,0.19259364918107477,0.08576702147833853,0.361572755272178,0.27580573379383955,True
2,2,200,20260827,cons,0.42541845573236087,0.466919415674678,0.3619654598178769,-0.04150095994231712,0.06345299591448395,0.10495395585680106,False
2,2,200,20260827,cons_full,0.4247763974251374,0.48840922606165904,0.3820972989531789,-0.06363282863652164,0.0426790984719585,0.10631192710848014,False
2,2,200,20260827,loc,0.16450000000000004,0.1295,0.045,0.03500000000000003,0.11950000000000004,0.0845,True
