run,round,n_labeled,perm_seed,lambda,signal,z
1,4,400,20260826,1.0,cons_full,0.37825947758197226
1,4,400,20260827,0.0,obs,0.5648959946078752
1,4,400,20260827,0.0,pm,0.616577551820048
1,4,400,20260827,0.0,cons,0.44678048109816043
1,4,400,20260827,0.0,loc,0.1225
1,4,400,20260827,0.0,cons_full,0.4247763974251374
1,4,400,20260827,0.5,obs,0.512257955263044
1,4,400,20260827,0.5,pm,0.5634247705512081
1,4,400,20260827,0.5,cons,0.48431644364632614
1,4,400,20260827,0.5,loc,0.10475000000000001
1,4,400,20260827,0.5,cons_full,0.48840922606165904
1,4,400,20260827,1.0,obs,0.2649395286326803
1,4,400,20260827,1.0,pm,0.2976298252001491
1,4,400,20260827,1.0,cons,0.3651036811262768
1,4,400,20260827,1.0,loc,0.019999999999999997
1,4,400,20260827,1.0,cons_full,0.3820972989531789
1,4,400,20260828,0.0,obs,0.5648959946078752
1,4,400,20260828,0.0,pm,0.616577551820048
1,4,400,20260828,0.0,cons,0.44678048109816043
1,4,400,20260828,0.0,loc,0.1225
1,4,400,20260828,0.0,cons_full,0.4247763974251374
1,4,400,20260828,0.5,obs,0.49954399632453794
1,4,400,20260828,0.5,pm,0.5535137505824517
1,4,400,20260828,0.5,cons,0.478501726152386
1,4,400,20260828,0.5,loc,0.08800000000000001
1,4,400,20260828,0.5,cons_full,0.4862838912347319
1,4,400,20260828,1.0,obs,0.22918205205194106
1,4,400,20260828,1.0,pm,0.2664294485252843
1,4,400,20260828,1.0,cons,0.3455116094513519
1,4,400,20260828,1.0,loc,0.0245
1,4,400,20260828,1.0,cons_full,0.3757072454817988
1,4,400,20260829,0.0,obs,0.5648959946078752
1,4,400,20260829,0.0,pm,0.616577551820048
1,4,400,20260829,0.0,cons,0.44678048109816043
1,4,400,20260829,0.0,loc,0.1225
1,4,400,20260829,0.0,cons_full,0.4247763974251374
1,4,400,20260829,0.5,obs,0.5072279042878391
1,4,400,20260829,0.5,pm,0.5660146691091416
1,4,400,20260829,0.5,cons,0.4777223188466424
1,4,400,20260829,0.5,loc,0.10800000000000001
1,4,400,20260829,0.5,cons_full,0.48676591304599104
1,4,400,20260829,1.0,obs,0.24768540437485678
1,4,400,20260829,1.0,pm,0.29533824763982164
1,4,400,20260829,1.0,cons,0.3504227567306307
1,4,400,20260829,1.0,loc,0.03175
1,4,400,20260829,1.0,cons_full,0.3809076724890633
1,4,400,20260830,0.0,obs,0.5648959946078752
1,4,400,20260830,0.0,pm,0.616577551820048
1,4,400,20260830,0.0,cons,0.44678048109816043
1,4,400,20260830,0.0,loc,0.1225
1,4,400,20260830,0.0,cons_full,0.4247763974251374
1,4,400,20260830,0.5,obs,0.49446754960952305
1,4,400,20260830,0.5,pm,0.5552285492458457
1,4,400,20260830,0.5,cons,0.48178201930279246
1,4,400,20260830,0.5,loc,0.09425
1,4,400,20260830,0.5,cons_full,0.48657164465559405
1,4,400,20260830,1.0,obs,0.24365056230661558
1,4,400,20260830,1.0,pm,0.29557213529936094
1,4,400,20260830,1.0,cons,0.36584254081106543
1,4,400,20260830,1.0,loc,0.021
1,4,400,20260830,1.0,cons_full,0.38149618633728666
