run,seed,round,n_labeled,pearson_delta,frac_opposite_direction_top20_non_dropout,mse_non_dropout,mse_top20_de_non_dropout,pearson_delta_top20_de_non_dropout,mse_4_non_dropout,mse_4_top20_de_non_dropout,method,source
3,1,2,300,0.2187986011311842,0.3960937500000001,0.0094812680035829,0.0986274108290672,0.2623080625807771,0.0020375986248739,0.07116888512957,fixed_0.5,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.5_run3_Core-Set_diff_effect_metrics.csv
3,1,3,400,0.2778890670787104,0.3372395833333333,0.0083586946129798,0.0867016687989234,0.3510647288740793,0.0014845781313342,0.0521021754265045,fixed_0.5,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.5_run3_Core-Set_diff_effect_metrics.csv
3,1,4,500,0.282516412007318,0.3223958333333334,0.0086741698905825,0.0874638631939888,0.3713898217676295,0.001574409571549,0.0508911085370831,fixed_0.5,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.5_run3_Core-Set_diff_effect_metrics.csv
3,1,5,600,0.276619490608355,0.3255208333333333,0.0084691978991031,0.084781713783741,0.373981873294595,0.001483470254956,0.0494929152143716,fixed_0.5,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.5_run3_Core-Set_diff_effect_metrics.csv
4,1,0,100,0.1146534848525963,0.4205729166666667,0.0106235211715102,0.1139269769191742,0.1610242639798773,0.0023636379450957,0.0830838893652374,fixed_0.5,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.5_run4_Core-Set_diff_effect_metrics.csv
4,1,1,200,0.2314973721448567,0.396875,0.0090980418026447,0.0956053957343101,0.2862509441140502,0.0017024614871576,0.0602341767237097,fixed_0.5,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.5_run4_Core-Set_diff_effect_metrics.csv
4,1,2,300,0.2505477467664186,0.3830729166666666,0.0088044591248035,0.0866986736655235,0.3145996413832937,0.0014572299615392,0.0490682300894756,fixed_0.5,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.5_run4_Core-Set_diff_effect_metrics.csv
4,1,3,400,0.2806766207320927,0.3822916666666667,0.008767488412559,0.0848071053624153,0.3215167810529902,0.0016229235293285,0.0500839956249061,fixed_0.5,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.5_run4_Core-Set_diff_effect_metrics.csv
4,1,4,500,0.2826280746480991,0.3346354166666667,0.0087253991514444,0.0848077610135078,0.3540995579649384,0.0016314445017075,0.0505396525208652,fixed_0.5,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.5_run4_Core-Set_diff_effect_metrics.csv
4,1,5,600,0.2936775474937514,0.31640625,0.0083489501848816,0.0848668590188026,0.390740136562037,0.0014413665889927,0.0498031263431888,fixed_0.5,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.5_run4_Core-Set_diff_effect_metrics.csv
