method,n_labeled,teacher_mean,teacher_std,teacher_n,local_mean,local_std,local_n,local_values,dev_from_teacher
Core-Set,600,0.2512058002023164,0.0256965659403232,10,0.2607786953449249,,1,[0.2607786953449249],0.3725359709480349
BALD,100,0.1155258162182577,0.0155723748402596,10,0.1106796450912952,0.01811629072844537,2,"[0.0978694930672645, 0.1234897971153259]",-0.3112030873051926
BALD,200,0.17662820133463,0.017472326706396,10,0.15159205347299576,0.018177419463854348,2,"[0.138738676905632, 0.1644454300403595]",-1.4329029145539842
BALD,300,0.2015994776122043,0.0261070556429084,10,0.18601415306329727,0.005255511811778029,2,"[0.182297945022583, 0.1897303611040115]",-0.596977489996676
BALD,400,0.2228438423985409,0.0231204895376067,10,0.2279666513204574,0.01614397100046136,2,"[0.2393821626901626, 0.2165511399507522]",0.22157008888518448
BALD,500,0.2257039626744366,0.0208159844036072,10,0.19178169965744013,0.034136924245095596,2,"[0.1676432490348816, 0.2159201502799987]",-1.6296256933742745
BALD,600,0.2486812097932695,0.0135979081546118,10,0.20772835612297055,0.015119402186585822,2,"[0.197037324309349, 0.2184193879365921]",-3.0117024769291127
BatchBALD,100,0.1146348509630248,0.0142567457590833,10,0.11534017696976659,0.014198741159357734,2,"[0.125380203127861, 0.1053001508116722]",0.04947314195404056
BatchBALD,200,0.2005777517756597,0.0215097220928321,10,0.168640986084938,0.039217178924053235,2,"[0.1963717192411422, 0.1409102529287338]",-1.4847595683890455
BatchBALD,300,0.2063676510792023,0.0215536149681728,10,0.19581687450408936,0.012974380478472342,2,"[0.2049911469221115, 0.1866426020860672]",-0.48951308588804116
BatchBALD,400,0.2368907521775939,0.0193441503602158,10,0.2189095392823219,0.015412206879903051,2,"[0.2298076152801513, 0.2080114632844925]",-0.9295426555540586
BatchBALD,500,0.240519730662515,0.0070904243288702,10,0.23218578100204465,0.02154827172419504,2,"[0.2474227100610733, 0.216948851943016]",-1.1753809467420546
BatchBALD,600,0.2500303316984871,0.0157802285019401,10,0.24834739416837687,0.01967082982056511,2,"[0.2344380170106887, 0.262256771326065]",-0.10664848927271998
BADGE,100,0.1158170442714171,0.0161733176554128,10,0.098967395722866,,1,[0.098967395722866],-1.0418176967489383
BADGE,200,0.1933865093618545,0.0172413514342689,10,0.191717267036438,,1,[0.191717267036438],-0.09681621140780933
BADGE,300,0.2248568682417187,0.0176506399162331,10,0.2113999724388122,,1,[0.2113999724388122],-0.76240271552593
BADGE,400,0.2519052762252426,0.0128526228585032,10,0.2503686249256134,,1,[0.2503686249256134],-0.11955935504732976
BADGE,500,0.2662817940624001,0.0161782093886948,10,0.2507663667201996,,1,[0.2507663667201996],-0.9590324225277099
BADGE,600,0.2770062702849917,0.0126202639080379,10,0.2636166512966156,,1,[0.2636166512966156],-1.0609618852620182
ACS-FW,100,0.1157484124243951,0.014438493448055,10,0.0988059416413307,,1,[0.0988059416413307],-1.1734237262369436
ACS-FW,200,0.1996913512833865,0.0169260547192322,10,0.1866088360548019,,1,[0.1866088360548019],-0.7729217142208337
ACS-FW,300,0.2284179313582298,0.0284419780558886,10,0.2356065511703491,,1,[0.2356065511703491],0.25274683068785264
ACS-FW,400,0.2466234130511867,0.0221515236019369,10,0.2787367403507232,,1,[0.2787367403507232],1.4497118968705411
ACS-FW,500,0.2669955346563817,0.0169239330188342,10,0.2419639229774475,,1,[0.2419639229774475],-1.479065867908906
ACS-FW,600,0.2747331968598515,0.0159205156142296,10,0.2738570868968963,,1,[0.2738570868968963],-0.055030250538626736
LCMD,100,0.1155981566898888,0.0135661350371815,10,0.1036491617560386,,1,[0.1036491617560386],-0.8807958125951791
LCMD,200,0.1776484644652565,0.0254135254910142,10,0.2174715548753738,,1,[0.2174715548753738],1.5670037761662816
LCMD,300,0.2324167210806238,0.0173101253604814,10,0.210507646203041,,1,[0.210507646203041],-1.265679734914035
LCMD,400,0.2476310109445817,0.0152230153707609,10,0.2384460717439651,,1,[0.2384460717439651],-0.6033587286693722
LCMD,500,0.262294420563943,0.0157390567314219,10,0.2652868926525116,,1,[0.2652868926525116],0.19013033243563857
LCMD,600,0.2763639162777209,0.0111190753429544,11,0.2611370682716369,,1,[0.2611370682716369],-1.3694347359317491
TypiClust,100,0.1165609758828218,0.0145408996975754,10,0.1083100214600563,,1,[0.1083100214600563],-0.5674308051338314
TypiClust,200,0.2055502950304414,0.0168820660106612,10,0.2354690432548523,,1,[0.2354690432548523],1.7722207818354048
TypiClust,300,0.2309491406137147,0.0149210174954845,10,0.231424942612648,,1,[0.231424942612648],0.031888039745098705
TypiClust,400,0.2489520500597798,0.0126644136342378,10,0.2667913734912872,,1,[0.2667913734912872],1.408618191629448
TypiClust,500,0.2646585328070946,0.0139409755638237,10,0.2635968923568725,,1,[0.2635968923568725],-0.07615252213604251
TypiClust,600,0.2746830378480859,0.0125971900808947,10,0.2601382434368133,,1,[0.2601382434368133],-1.154606250907629
KMeans,100,0.1167333924624235,0.0129022542029988,10,0.1010396555066108,,1,[0.1010396555066108],-1.216356204806838
KMeans,200,0.2058028730370912,0.0173476312380016,10,0.1922096610069275,,1,[0.1922096610069275],-0.7835774143265453
KMeans,300,0.2356787420671349,0.0253931865400135,10,0.2145559638738632,,1,[0.2145559638738632],-0.8318285757475667
KMeans,400,0.2516223112684961,0.0218314459292504,10,0.2248415201902389,,1,[0.2248415201902389],-1.2267071620013739
KMeans,500,0.2640157752061352,0.0173207638457341,10,0.226271390914917,,1,[0.226271390914917],-2.1791408639587324
KMeans,600,0.2746077771054433,0.018682888193753,10,0.2498615235090255,,1,[0.2498615235090255],-1.3245411169720662
