split,budget,policy,objective,value,cost
1,55,half_split_r,mean_r,0.4425083005688245,13420.0
1,55,half_split_r,frac_ge_0.5,0.4385245901639344,13420.0
1,55,half_split_r,frac_ge_0.7,0.3483606557377049,13420.0
1,55,noise_ratio,mean_r,0.4232758167090055,13420.0
1,55,noise_ratio,frac_ge_0.5,0.4098360655737705,13420.0
1,55,noise_ratio,frac_ge_0.7,0.23770491803278687,13420.0
1,55,prior_typiclust,mean_r,0.4422141869531441,13420.0
1,55,prior_typiclust,frac_ge_0.5,0.4426229508196721,13420.0
1,55,prior_typiclust,frac_ge_0.7,0.3524590163934426,13420.0
1,55,random,mean_r,0.4358070098485351,13420.0
1,55,random,frac_ge_0.5,0.4426229508196721,13420.0
1,55,random,frac_ge_0.7,0.29508196721311475,13420.0
1,55,oracle_mean_r,mean_r,0.46372200589370344,13420.0
1,55,oracle_mean_r,frac_ge_0.5,0.4959016393442623,13420.0
1,55,oracle_mean_r,frac_ge_0.7,0.36065573770491804,13420.0
1,55,oracle_frac_ge_0.5,mean_r,0.4427483579340452,13420.0
1,55,oracle_frac_ge_0.5,frac_ge_0.5,0.5163934426229508,13420.0
1,55,oracle_frac_ge_0.5,frac_ge_0.7,0.28688524590163933,13420.0
1,55,oracle_frac_ge_0.7,mean_r,0.44003518272432707,13420.0
1,55,oracle_frac_ge_0.7,frac_ge_0.5,0.430327868852459,13420.0
1,55,oracle_frac_ge_0.7,frac_ge_0.7,0.38114754098360654,13420.0
1,70,uniform,mean_r,0.4772333164621129,17080.0
1,70,uniform,frac_ge_0.5,0.5,17080.0
1,70,uniform,frac_ge_0.7,0.36065573770491804,17080.0
1,70,probe(dev-fitted),mean_r,0.47259073585680245,17080.0
1,70,probe(dev-fitted),frac_ge_0.5,0.5,17080.0
1,70,probe(dev-fitted),frac_ge_0.7,0.3729508196721312,17080.0
1,70,est_norm,mean_r,0.47222489588913036,17080.0
1,70,est_norm,frac_ge_0.5,0.5081967213114754,17080.0
1,70,est_norm,frac_ge_0.7,0.38114754098360654,17080.0
1,70,half_split_r,mean_r,0.4705117205396432,17080.0
1,70,half_split_r,frac_ge_0.5,0.5122950819672131,17080.0
1,70,half_split_r,frac_ge_0.7,0.3770491803278688,17080.0
1,70,noise_ratio,mean_r,0.45191462230763674,17080.0
1,70,noise_ratio,frac_ge_0.5,0.4959016393442623,17080.0
1,70,noise_ratio,frac_ge_0.7,0.2540983606557377,17080.0
1,70,prior_typiclust,mean_r,0.46398893628196913,17080.0
1,70,prior_typiclust,frac_ge_0.5,0.4672131147540984,17080.0
1,70,prior_typiclust,frac_ge_0.7,0.36885245901639346,17080.0
1,70,random,mean_r,0.4596624392813327,17080.0
1,70,random,frac_ge_0.5,0.46311475409836067,17080.0
1,70,random,frac_ge_0.7,0.3155737704918033,17080.0
1,70,oracle_mean_r,mean_r,0.48542000070957614,17080.0
1,70,oracle_mean_r,frac_ge_0.5,0.5163934426229508,17080.0
1,70,oracle_mean_r,frac_ge_0.7,0.38114754098360654,17080.0
1,70,oracle_frac_ge_0.5,mean_r,0.4618294555512562,17080.0
1,70,oracle_frac_ge_0.5,frac_ge_0.5,0.5163934426229508,17080.0
1,70,oracle_frac_ge_0.5,frac_ge_0.7,0.319672131147541,17080.0
1,70,oracle_frac_ge_0.7,mean_r,0.46121579335074964,17080.0
