split,budget,policy,mean_r,downstream,cost,frac_ge_0.7
3,40,uniform,0.4070740318876218,0.24224232100849505,9760.0,0.24180327868852458
3,40,probe(dev-fitted),0.392638352546902,0.24000072268285866,9760.0,0.26639344262295084
3,40,oracle_frac_ge_0.7,0.3966792033618835,0.23862885648910598,9760.0,0.3401639344262295
3,40,oracle_downstream,0.39039351197616123,0.2495511846456044,9760.0,0.2336065573770492
3,40,random,0.3875738883154375,0.23779564876779485,9760.0,0.21311475409836064
3,55,uniform,0.43369437777580405,0.2458742189954978,13420.0,0.27049180327868855
3,55,probe(dev-fitted),0.41983129516946244,0.24221709371420505,13420.0,0.29918032786885246
3,55,oracle_frac_ge_0.7,0.4167711264320237,0.241177108445641,13420.0,0.3401639344262295
3,55,oracle_downstream,0.4155597153585404,0.2536591023606307,13420.0,0.2581967213114754
3,55,random,0.4075988225970936,0.2420099149119309,13420.0,0.23770491803278687
3,70,uniform,0.45645200583433015,0.24827528404820515,17080.0,0.30327868852459017
3,70,probe(dev-fitted),0.4453276725119499,0.24569892220051784,17080.0,0.3237704918032787
3,70,oracle_frac_ge_0.7,0.4386446300944596,0.24360054764648031,17080.0,0.3401639344262295
3,70,oracle_downstream,0.4371669394170224,0.25474488289221253,17080.0,0.2786885245901639
3,70,random,0.43134512567222805,0.24428392805485546,17080.0,0.26639344262295084
3,90,uniform,0.47484937949143313,0.24893049561214273,21960.0,0.3237704918032787
3,90,probe(dev-fitted),0.4720017253154064,0.24858297162460893,21960.0,0.3401639344262295
3,90,oracle_frac_ge_0.7,0.4656910980945705,0.24626575460304842,21960.0,0.3401639344262295
3,90,oracle_downstream,0.46681445421790324,0.25352143581332565,21960.0,0.3114754098360656
3,90,random,0.46481425557371425,0.24698024338942076,21960.0,0.3114754098360656
4,40,uniform,0.4302711957167704,0.23279698658326933,9760.0,0.3155737704918033
4,40,probe(dev-fitted),0.41978671793066363,0.23228080539776336,9760.0,0.29508196721311475
4,40,oracle_frac_ge_0.7,0.4234013586871891,0.23165936917921393,9760.0,0.3975409836065574
4,40,oracle_downstream,0.41466455328846963,0.24067524916462574,9760.0,0.2540983606557377
4,40,random,0.41296254697381746,0.23081694498088587,9760.0,0.24180327868852458
4,55,uniform,0.4568451953637719,0.23611634268720244,13420.0,0.3483606557377049
4,55,probe(dev-fitted),0.4467285235343715,0.23394611860437345,13420.0,0.3483606557377049
4,55,oracle_frac_ge_0.7,0.4416034534634625,0.2332527206524299,13420.0,0.4016393442622951
4,55,oracle_downstream,0.4355908008406824,0.2459922545079673,13420.0,0.2827868852459016
4,55,random,0.434140366793234,0.23228427969370524,13420.0,0.2786885245901639
4,70,uniform,0.4744066131884732,0.2391837608658475,17080.0,0.36475409836065575
4,70,probe(dev-fitted),0.4695415230216,0.23679376891061843,17080.0,0.38114754098360654
4,70,oracle_frac_ge_0.7,0.46165784984849945,0.2364533651616787,17080.0,0.4016393442622951
4,70,oracle_downstream,0.45608853453828846,0.24680813246031572,17080.0,0.3319672131147541
4,70,random,0.45791323287097035,0.23286766036447873,17080.0,0.3319672131147541
4,90,uniform,0.49180001408085,0.24110781344214133,21960.0,0.38934426229508196
4,90,probe(dev-fitted),0.494243008137167,0.23994069892369985,21960.0,0.4016393442622951
4,90,oracle_frac_ge_0.7,0.48508212254601546,0.24009507045506318,21960.0,0.4016393442622951
4,90,oracle_downstream,0.48774283262241996,0.24568889652369447,21960.0,0.3729508196721312
4,90,random,0.48684905654450544,0.2374810812050089,21960.0,0.36065573770491804
5,40,uniform,0.42260475484721105,0.2369525615964594,9760.0,0.2581967213114754
5,40,probe(dev-fitted),0.4120173771821772,0.2332920760049815,9760.0,0.27049180327868855
5,40,oracle_frac_ge_0.7,0.4113547747132185,0.2346418742930644,9760.0,0.3442622950819672
5,40,oracle_downstream,0.40832751365397585,0.24545431751592603,9760.0,0.22950819672131148
5,40,random,0.40245671098628155,0.2344545350644295,9760.0,0.22540983606557377
5,55,uniform,0.4526240149938471,0.23955871363482217,13420.0,0.29918032786885246
5,55,probe(dev-fitted),0.4387338563091824,0.23623185849622863,13420.0,0.3114754098360656
5,55,oracle_frac_ge_0.7,0.4289651754613752,0.23574108540553346,13420.0,0.3442622950819672
5,55,oracle_downstream,0.4334195528921793,0.2492936967232207,13420.0,0.2540983606557377
5,55,random,0.4254791909918479,0.23622828386936248,13420.0,0.2540983606557377
5,70,uniform,0.47106564648451327,0.24209487708159866,17080.0,0.3319672131147541
5,70,probe(dev-fitted),0.46283035804651157,0.23996750082825155,17080.0,0.3401639344262295
5,70,oracle_frac_ge_0.7,0.4530846339595107,0.2390120585517183,17080.0,0.3442622950819672
5,70,oracle_downstream,0.45635124892244483,0.25016456755623706,17080.0,0.26639344262295084
5,70,random,0.44877595889103433,0.23823330553963473,17080.0,0.28688524590163933
5,90,uniform,0.4893297258514976,0.24409444647039405,21960.0,0.3360655737704918
5,90,probe(dev-fitted),0.48495942306968187,0.24285994888916135,21960.0,0.3442622950819672
5,90,oracle_frac_ge_0.7,0.4842748832717141,0.24256603533045923,21960.0,0.3442622950819672
5,90,oracle_downstream,0.4841841575689614,0.24928723545239748,21960.0,0.3155737704918033
5,90,random,0.48119117626462315,0.24205700427171487,21960.0,0.3237704918032787
6,40,uniform,0.4016386092226326,0.24331566075174924,9760.0,0.26639344262295084
6,40,probe(dev-fitted),0.3924140511481993,0.2383069041527356,9760.0,0.28688524590163933
6,40,oracle_frac_ge_0.7,0.39219351468583213,0.23793902322539823,9760.0,0.3360655737704918
6,40,oracle_downstream,0.38797623024333544,0.25151900742909833,9760.0,0.24180327868852458
6,40,random,0.3828635026957123,0.23835465006571308,9760.0,0.24180327868852458
6,55,uniform,0.4283824864384665,0.24831788374322517,13420.0,0.29508196721311475
6,55,probe(dev-fitted),0.4151442320559953,0.24364513417911696,13420.0,0.3073770491803279
6,55,oracle_frac_ge_0.7,0.41207226768678024,0.24093481212336237,13420.0,0.3360655737704918
6,55,oracle_downstream,0.41110773673700934,0.2563159929985845,13420.0,0.2786885245901639
6,55,random,0.4082296197102849,0.24040991913030532,13420.0,0.2581967213114754
6,70,uniform,0.4472177858198072,0.24943180798774836,17080.0,0.3155737704918033
6,70,probe(dev-fitted),0.4390123931979226,0.2489645389978926,17080.0,0.32786885245901637
