avg_budget,objective,rule,actual_budget,value,k_deep
90,mean_r,oracle,90.03048780487805,0.48485596419496857,711
90,mean_r,probe,90.03048780487805,0.4879639115148616,711
90,mean_r,est_norm,90.03048780487805,0.48867597131145785,711
90,mean_r,half_split_r,90.03048780487805,0.48780126511805616,711
90,mean_r,random,90.03048780487805,0.4811962921789054,711
90,frac_r_ge_0.5,uniform,90.0,0.4902439024390244,0
90,frac_r_ge_0.5,oracle,90.03048780487805,0.4817073170731707,711
90,frac_r_ge_0.5,probe,90.03048780487805,0.501219512195122,711
90,frac_r_ge_0.5,est_norm,90.03048780487805,0.501219512195122,711
90,frac_r_ge_0.5,half_split_r,90.03048780487805,0.501219512195122,711
90,frac_r_ge_0.5,random,90.03048780487805,0.4902439024390244,711
90,frac_r_ge_0.7,uniform,90.0,0.3475609756097561,0
90,frac_r_ge_0.7,oracle,90.03048780487805,0.3548780487804878,711
90,frac_r_ge_0.7,probe,90.03048780487805,0.3548780487804878,711
90,frac_r_ge_0.7,est_norm,90.03048780487805,0.3548780487804878,711
90,frac_r_ge_0.7,half_split_r,90.03048780487805,0.3548780487804878,711
90,frac_r_ge_0.7,random,90.03048780487805,0.3280487804878049,711
