split,budget,policy,downstream_pearson,cost
4,40,uniform,0.23279698658326933,9760.0
4,40,probe(dev-fitted),0.23257371791695974,9760.0
4,40,est_norm,0.23240867002948565,9760.0
4,40,half_split_r,0.23166599449422315,9760.0
4,40,noise_ratio,0.22878329646816326,9760.0
4,40,prior_typiclust,0.23384981529233653,9760.0
4,40,random,0.23081694498088587,9760.0
4,40,oracle_mean_r,0.23111312566824935,9760.0
4,40,oracle_frac_ge_0.5,0.23167710700211075,9760.0
4,40,oracle_frac_ge_0.7,0.23165936917921393,9760.0
4,55,uniform,0.23611634268720244,13420.0
4,55,probe(dev-fitted),0.23510568169728663,13420.0
4,55,est_norm,0.23599351519513362,13420.0
4,55,half_split_r,0.23581545172280122,13420.0
4,55,noise_ratio,0.2311954412667361,13420.0
4,55,prior_typiclust,0.23864792194116508,13420.0
4,55,random,0.23228427969370524,13420.0
4,55,oracle_mean_r,0.2339086764130264,13420.0
4,55,oracle_frac_ge_0.5,0.2339430993004142,13420.0
4,55,oracle_frac_ge_0.7,0.2332527206524299,13420.0
4,70,uniform,0.2391837608658475,17080.0
4,70,probe(dev-fitted),0.23721371399244875,17080.0
4,70,est_norm,0.2384433269675354,17080.0
4,70,half_split_r,0.23819085748937957,17080.0
4,70,noise_ratio,0.2336601107526126,17080.0
4,70,prior_typiclust,0.2389546419274186,17080.0
4,70,random,0.23286766036447873,17080.0
4,70,oracle_mean_r,0.23678645469464016,17080.0
4,70,oracle_frac_ge_0.5,0.2344260573844766,17080.0
4,70,oracle_frac_ge_0.7,0.2364533651616787,17080.0
4,90,uniform,0.24110781344214133,21960.0
4,90,probe(dev-fitted),0.24004805027420054,21960.0
4,90,est_norm,0.24114556870253206,21960.0
4,90,half_split_r,0.24126418636497401,21960.0
4,90,noise_ratio,0.2383426720575708,21960.0
4,90,prior_typiclust,0.24077463020948137,21960.0
4,90,random,0.2374810812050089,21960.0
4,90,oracle_mean_r,0.24025417693531925,21960.0
4,90,oracle_frac_ge_0.5,0.23987510326549952,21960.0
4,90,oracle_frac_ge_0.7,0.24009507045506318,21960.0
5,40,uniform,0.2369525615964594,9760.0
5,40,probe(dev-fitted),0.23519829670563322,9760.0
5,40,est_norm,0.23732166825931866,9760.0
5,40,half_split_r,0.2365210407246549,9760.0
5,40,noise_ratio,0.23292870060595877,9760.0
5,40,prior_typiclust,0.23907950754119384,9760.0
5,40,random,0.2344545350644295,9760.0
5,40,oracle_mean_r,0.23447601023560743,9760.0
5,40,oracle_frac_ge_0.5,0.2349986749502156,9760.0
5,40,oracle_frac_ge_0.7,0.2346418742930644,9760.0
5,55,uniform,0.23955871363482217,13420.0
5,55,probe(dev-fitted),0.2382286863526174,13420.0
5,55,est_norm,0.24051828431750827,13420.0
5,55,half_split_r,0.24035195115793773,13420.0
5,55,noise_ratio,0.2341604810223145,13420.0
5,55,prior_typiclust,0.24203312756230133,13420.0
5,55,random,0.23622828386936248,13420.0
5,55,oracle_mean_r,0.2363791393003239,13420.0
5,55,oracle_frac_ge_0.5,0.23539272612139595,13420.0
5,55,oracle_frac_ge_0.7,0.23574108540553346,13420.0
5,70,uniform,0.24209487708159866,17080.0
5,70,probe(dev-fitted),0.23997619032015677,17080.0
5,70,est_norm,0.24221541464543767,17080.0
5,70,half_split_r,0.24171077116770093,17080.0
5,70,noise_ratio,0.23595727898416816,17080.0
5,70,prior_typiclust,0.24429061726599113,17080.0
5,70,random,0.23823330553963473,17080.0
5,70,oracle_mean_r,0.23939175299440366,17080.0
5,70,oracle_frac_ge_0.5,0.238306186483698,17080.0
5,70,oracle_frac_ge_0.7,0.2390120585517183,17080.0
5,90,uniform,0.24409444647039405,21960.0
5,90,probe(dev-fitted),0.24315316038420248,21960.0
5,90,est_norm,0.24407308161833252,21960.0
5,90,half_split_r,0.24375220543837464,21960.0
5,90,noise_ratio,0.23990246483664474,21960.0
5,90,prior_typiclust,0.24485139865993524,21960.0
5,90,random,0.24205700427171487,21960.0
5,90,oracle_mean_r,0.24361212716596609,21960.0
5,90,oracle_frac_ge_0.5,0.24148347982242455,21960.0
5,90,oracle_frac_ge_0.7,0.24256603533045923,21960.0
6,40,uniform,0.24331566075174924,9760.0
6,40,probe(dev-fitted),0.24045246889103808,9760.0
