split,policy,auc_downstream,ds_b40,ds_b55,ds_b70,ds_b90
3,structural_only,0.32445230018720295,0.3195433550644577,0.32368122190979026,0.3262015397027498,0.32622945729317404
3,fixed_dev_chosen(structural_in_nn),0.32445230018720295,0.3195433550644577,0.32368122190979026,0.3262015397027498,0.32622945729317404
4,uniform,0.33905755149406525,0.33369567010361023,0.33773824563473576,0.3398601186580917,0.34365342878885435
4,random,0.3387748100838518,0.33346523821894647,0.3356956268041611,0.3404194799073604,0.3444975917109268
4,reliability_driven,0.3360157784196241,0.33092222475827476,0.33560090986864,0.33648543734420355,0.3396363433740985
4,downstream_driven,0.34136186840668087,0.33606542650018667,0.3408371439379017,0.34195348789971564,0.34508595242690937
4,structural_only,0.34303415279041877,0.3378725511021712,0.3429704924201933,0.34392635875987504,0.34543948416539416
4,fixed_dev_chosen(structural_in_nn),0.34303415279041877,0.3378725511021712,0.3429704924201933,0.34392635875987504,0.34543948416539416
5,uniform,0.3254973856816688,0.32166952184886266,0.3241366568526787,0.32688302079150816,0.32798451535753964
5,random,0.3264457155901684,0.321376618902045,0.3261787232161744,0.32739259124480735,0.3289909942716337
5,reliability_driven,0.3194303645290845,0.3180170131862286,0.3176122454861939,0.3181741344454568,0.32541595924691086
5,downstream_driven,0.32679549703232685,0.3259804213178812,0.32636248073184576,0.3264133844048436,0.3287250253669786
5,structural_only,0.3275762695734032,0.32598543895325793,0.3270405127854973,0.3278833407978103,0.3290356530776588
5,fixed_dev_chosen(structural_in_nn),0.3275762695734032,0.32598543895325793,0.3270405127854973,0.3278833407978103,0.3290356530776588
6,uniform,0.34040098472551206,0.33435346433591273,0.3401076354904958,0.3416021929098793,0.3432745345475933
6,random,0.335691696154383,0.3275800486799624,0.33255391939628914,0.3371653001977153,0.34390328982150764
6,reliability_driven,0.3379443524478226,0.33208669424686116,0.3344907456935566,0.33957009855292447,0.3446729505460148
6,downstream_driven,0.34229564698656917,0.338188115850822,0.3412658081732551,0.34360510779566855,0.3446294971424268
6,structural_only,0.3429373242959355,0.3377506058509383,0.3425090474982504,0.3445332780219385,0.3446768593057055
6,fixed_dev_chosen(structural_in_nn),0.3429373242959355,0.3377506058509383,0.3425090474982504,0.3445332780219385,0.3446768593057055
7,uniform,0.31788297389765424,0.3104955189351352,0.3180273329524467,0.31929389703118766,0.3207379110536712
7,random,0.31375273002414433,0.3071714142088328,0.31292159334522246,0.3148986523930323,0.3179300577584569
7,reliability_driven,0.31153926955896816,0.3070845481844879,0.3082687381175335,0.3130067658295737,0.31721798927842054
7,downstream_driven,0.31752688261505285,0.31149256255811536,0.316442216105789,0.3197881567606319,0.31972239266688846
7,structural_only,0.3171622309236989,0.31091806315011705,0.3157213814082891,0.3191038645885108,0.3206087721135793
7,fixed_dev_chosen(structural_in_nn),0.3171622309236989,0.31091806315011705,0.3157213814082891,0.3191038645885108,0.3206087721135793
8,uniform,0.3257596464012524,0.3190998891454069,0.32470119735209774,0.32722160492516306,0.3297837105000247
8,random,0.32406404110665976,0.3160764523507883,0.32268410409134696,0.32559504701357483,0.32944537785943095
8,reliability_driven,0.3231735917185468,0.3167805609109922,0.32075959901529166,0.32569178399469384,0.32718251739583815
8,downstream_driven,0.32736370828928246,0.32223333897144263,0.3254929893686895,0.3295648355758129,0.33016559090712344
8,structural_only,0.3287176333716002,0.3228852298613969,0.3280101842252579,0.3307904102528776,0.3305257501815306
8,fixed_dev_chosen(structural_in_nn),0.3287176333716002,0.3228852298613969,0.3280101842252579,0.3307904102528776,0.3305257501815306
9,uniform,0.2762680215376429,0.2730838490576806,0.27439612434729127,0.2776186503468295,0.27910039626706573
9,random,0.2733612431046769,0.27026710344952426,0.27316110391719667,0.27283007647634633,0.2769115982268402
9,reliability_driven,0.27331697379761405,0.2703013336572998,0.2726655316999298,0.2734526056399842,0.2763185113252285
9,downstream_driven,0.2790823088899833,0.2745286686139968,0.2800288947363214,0.2798498191937364,0.279734517295898
